from,to,cost,distance
721,445,0.79,276
32,266,0.596,234
34,56,0.628,22
449,555,3.909,106
871,763,1.134,108
175,205,1.295,30
126,720,1.348,594
626,709,0.589,83
97,397,3.4210000000000003,300
222,734,0.309,512
101,273,1.445,172
506,822,1.644,316
785,69,0.512,716
245,596,3.851,351
35,841,0.8440000000000001,806
249,120,0.56,129
134,263,1.715,129
448,638,1.022,190
656,748,0.593,92
20,395,0.402,375
880,108,0.58,772
446,793,0.8,347
600,317,0.64,283
585,36,14.353,549
838,585,4.0760000000000005,253
601,787,1.968,186
223,499,8.095,276
411,18,0.5489999999999999,393
178,407,1.786,229
247,114,2.929,133
705,619,0.319,86
146,198,0.5,52
552,602,0.965,50
702,643,0.934,59
801,239,0.634,562
686,721,0.5529999999999999,35
239,805,1.487,566
654,554,0.7929999999999999,100
186,235,0.66,49
643,186,0.226,457
266,34,0.742,232
471,312,0.69,159
56,425,0.933,369
577,269,0.385,308
128,389,0.802,261
297,755,0.631,458
844,393,0.522,451
41,566,0.733,525
731,341,0.6859999999999999,390
747,570,0.606,177
607,139,2.178,468
387,607,0.79,220
569,387,1.064,182
3,367,2.072,364
800,29,1.187,771
315,800,1.4169999999999998,485
137,780,0.599,643
429,819,0.952,390
58,564,0.75,506
325,610,1.046,285
118,472,0.805,354
99,287,1.31,188
287,672,1.125,385
