from,to,cost,distance
35,841,0.8440000000000001,806
880,108,0.58,772
585,36,14.353,549
838,14,0.831,824
812,19,0.598,793
223,499,8.095,276
801,239,0.634,562
874,83,1.238,791
830,227,0.207,603
867,95,0.72,772
768,132,1.874,636
781,222,3.315,559
37,781,0.145,744
501,4,0.256,497
253,845,3.924,592
821,228,0.6890000000000001,593
791,372,0.747,419
841,283,0.908,558
748,369,1.88,379
184,880,0.905,696
859,324,0.6629999999999999,535
2,0,0.8170000000000001,2
786,9,1.621,777
80,857,1.842,777
673,12,0.321,661
12,733,0.37,721
70,849,0.968,779
18,833,10.729,815
773,772,0.999,1
772,171,1.3330000000000002,601
525,438,8.827,87
667,664,0.965,3
749,827,3.699,78
559,560,3.983,1
865,869,0.584,4
764,572,0.802,192
452,597,1.314,145
850,259,0.802,591
854,850,0.209,4
695,7,1.495,688
21,531,2.9560000000000004,510
797,406,0.272,391
11,24,0.6809999999999999,13
814,344,4.592,470
344,494,10.337,150
65,63,0.208,2
778,875,0.432,97
45,876,2.825,831
787,590,3.312,197
109,514,3.625,405
784,299,2.242,485
212,5,0.857,207
820,272,0.355,548
235,654,7.281000000000001,419
154,192,11.022,38
794,311,2.089,483
544,689,2.093,145
684,296,19.138,388
380,882,0.993,502
38,46,5.834,8
264,396,20.539,132
869,374,0.884,495
756,238,0.481,518
534,538,0.972,4
719,865,1.568,146
40,798,0.815,758
10,340,9.636,330
340,696,19.063,356
790,386,0.581,404
52,835,5.28,783
802,321,0.48,481
813,814,2.34,1
139,1,4.561,138
866,293,0.962,573
832,342,0.66,490
219,815,3.754,596
881,46,2.414,835
86,855,1.874,769
775,268,0.3429999999999999,507
647,154,9.751,493
330,39,14.042,291
776,338,1.4880000000000002,438
878,687,0.77,191
92,878,2.213,786
240,683,7.196,443
843,253,3.809,590
591,600,8.862,9
710,843,0.785,133
